"ISLAND","LONGITUDE","LATITUDE"
"Agrihan",145.665500295,18.769197553
"Aguijan",145.554042804348,14.85052222
"Alamagan",145.8288224375,17.59763188875
"Asuncion",145.40198005122,19.6901696953659
"Baker",-176.47248668,0.195594451555556
"Farallon de Pajaros",144.893504647826,20.542865966087
"French Frigate",-166.1471034,23.76509266
"Guam",144.769436195781,13.4355567059494
"Guguan",145.841410733333,17.3070376590476
"Hawaii",-155.517581768317,19.6531728020792
"Howland",-176.618365336364,0.807171192181818
"Jarvis",-159.992528736111,-0.373640700694444
"Johnston",-169.525220827273,16.7504941681818
"Kauai",-159.542715074603,22.0279771142857
"Kingman",-162.403545146512,6.4018481144186
"Kure",-178.335764296667,28.41578149
"Lanai",-156.900793197297,20.8231091341892
"Lisianski",-173.940815034483,26.0176519363218
"Maug",145.222561732692,20.0231278959615
"Maui",-156.427181571552,20.8274988012069
"Molokai",-157.057520982828,21.1208919822222
"Niihau",-160.149057740476,21.9064996864286
"Oahu",-157.980183013433,21.4626175846269
"Ofu & Olosega",-169.648783331667,-14.171026692
"Pagan",145.759815391667,18.1065867223611
"Palmyra",-162.092195212658,5.8765412335443
"Pearl & Hermes",-175.809947495745,27.8770911155319
"Rose",-168.155756236842,-14.5449209154386
"Rota",145.178467328846,14.1448796901923
"Saipan",145.747900914286,15.1984192079221
"Sarigan",145.77721294,16.7027781885
"Swains",-171.079012166129,-11.0559938925806
"Tau",-169.464986154348,-14.2397699897826
"Tinian",145.629047442105,15.0194840571053
"Tutuila",-170.679602089524,-14.295689415619
