"ISLAND","REGION","SITE_SLOPE_400m"
"Agrihan","N.MARIAN",12.3121829770435
"Aguijan","S.MARIAN",13.8967329655
"Alamagan","N.MARIAN",14.7222307195625
"Asuncion","N.MARIAN",17.2221364837333
"Baker","PRIAs",16.2297298827
"Farallon de Pajaros","N.MARIAN",20.6785556015385
"French Frigate","NWHI",1.97645327218919
"Guam","S.MARIAN",9.21087215920417
"Guguan","N.MARIAN",14.835134303
"Hawaii","MHI",10.2382717870764
"Howland","PRIAs",31.1984721797324
"Jarvis","PRIAs",19.8004811296667
"Johnston","PRIAs",9.10517926115385
"Kauai","MHI",1.6946651330875
"Kingman","PRIAs",18.8830872385926
"Kure","NWHI",6.70843358388372
"Lanai","MHI",3.49095148490909
"Lisianski","NWHI",1.77090034528302
"Maug","N.MARIAN",21.1304268219667
"Maui","MHI",2.56761774393007
"Molokai","MHI",2.19650893767593
"Niihau","MHI",1.20649793367925
"Oahu","MHI",1.59555739514201
"Ofu & Olosega","SAMOA",8.50821524735443
"Pagan","N.MARIAN",11.0453988000824
"Palmyra","PRIAs",11.4215297421527
"Pearl & Hermes","NWHI",2.36597528791781
"Rose","SAMOA",34.3728714942667
"Rota","S.MARIAN",7.50726342446154
"Saipan","S.MARIAN",7.91519386147727
"Sarigan","N.MARIAN",18.7865626364286
"Swains","SAMOA",40.4766133790909
"Tau","SAMOA",18.2497241013667
"Tinian","S.MARIAN",8.40924849654762
"Tutuila","SAMOA",6.98386823832762
