"island","lat","lon"
"Agrihan",18.77,145.67
"Alamagan",17.6,145.83
"Asuncion",19.69,145.41
"Baker",0.19,183.52
"Farallon de Pajaros",20.55,144.9
"French Frigate",23.73,193.83
"Guam",13.46,144.78
"Guguan",17.31,145.84
"Hawaii",19.9,204.42
"Howland",0.8,183.36
"Jarvis",-0.38,199.98
"Johnston",16.73,190.47
"Kauai",22.1,200.47
"Kingman",6.42,197.62
"Kure",28.39,181.7
"Lisianski",26.07,186.03
"Maug",20.01,145.23
"Maui",20.8,203.67
"Niihau",21.89,199.84
"Oahu",21.44,202
"Pagan",18.11,145.77
"Palmyra",5.88,197.93
"Pearl & Hermes",27.78,184.19
"Rose",-14.55,191.83
"Rota",14.16,145.21
"Saipan",15.19,145.75
"Sarigan",16.7,145.78
"Swains",-11.05,188.92
"Tau",-14.23,190.56
"Tutuila",-14.3,189.27
